num_nodes,num_edges,false_avg_degree,average_clustering,density,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio,total
8500,8271,0.002336859703063965,0.07813799381256104,0.0023099184036254883,0.0038063526153564453,0.021549105644226074,0.019330739974975586,0.0003052949905395508,0.12777626514434814
8750,9020,0.0021424293518066406,0.07638514041900635,0.001697540283203125,0.003168344497680664,0.014617443084716797,0.011298656463623047,0.0003103017807006836,0.1096198558807373
9000,9095,0.0022237300872802734,0.07971012592315674,0.0017410516738891602,0.0032340288162231445,0.015023589134216309,0.011749863624572754,0.0003217458724975586,0.11400413513183594
9250,10038,0.002282857894897461,0.08760428428649902,0.0018169879913330078,0.003323197364807129,0.01550281047821045,0.01259768009185791,0.0003490447998046875,0.12347686290740967
9500,10355,0.0023424625396728516,0.0924067497253418,0.0018563270568847656,0.0033838748931884766,0.016042470932006836,0.013232588768005371,0.0003466606140136719,0.12961113452911377
9750,11272,0.002431035041809082,0.09851372241973877,0.0019216537475585938,0.0034302473068237305,0.01645815372467041,0.013704180717468262,0.00042128562927246094,0.1368802785873413
10000,11034,0.002396106719970703,0.09839129447937012,0.0019686222076416016,0.0032913684844970703,0.01655864715576172,0.014007806777954102,0.00037384033203125,0.13698768615722656
10250,11587,0.002468585968017578,0.10687804222106934,0.0020241737365722656,0.003358602523803711,0.017056703567504883,0.014539718627929688,0.0003705024719238281,0.1466963291168213
10500,13243,0.0025353431701660156,0.12549448013305664,0.002064943313598633,0.0034208297729492188,0.017502546310424805,0.015862464904785156,0.0004086494445800781,0.16728925704956055
10750,12871,0.002619028091430664,0.11945891380310059,0.0020940303802490234,0.0034570693969726562,0.017856836318969727,0.015689849853515625,0.00039267539978027344,0.16156840324401855
11000,14458,0.0026314258575439453,0.13621950149536133,0.0020990371704101562,0.003536224365234375,0.018378496170043945,0.01700735092163086,0.0004267692565917969,0.1802988052368164
11250,13931,0.002695322036743164,0.1257617473602295,0.0021810531616210938,0.0035791397094726562,0.01875591278076172,0.01687479019165039,0.0004124641418457031,0.17026042938232422
11500,14719,0.002741098403930664,0.13531756401062012,0.0022237300872802734,0.0036487579345703125,0.019063472747802734,0.017389774322509766,0.000431060791015625,0.1808154582977295
11750,15624,0.002804279327392578,0.14541912078857422,0.00225067138671875,0.0037038326263427734,0.019466400146484375,0.018076181411743164,0.00045680999755859375,0.19217729568481445
12000,16221,0.0029213428497314453,0.15401291847229004,0.002360105514526367,0.0037648677825927734,0.02000880241394043,0.01913738250732422,0.0004620552062988281,0.2026674747467041
12250,17051,0.002914905548095703,0.1619102954864502,0.0023665428161621094,0.003819704055786133,0.020290851593017578,0.019848346710205078,0.0009145736694335938,0.2120652198791504
12500,17937,0.002962350845336914,0.17212653160095215,0.0024454593658447266,0.003888368606567383,0.020569324493408203,0.020434141159057617,0.0008530616760253906,0.22327923774719238
