num_nodes,num_edges,false_avg_degree,average_clustering,density,real_avg_degree,edge_cut,attribute_assortativity_coefficient,homophily_ratio
8000,6777,3.564,0.026542418824980138,0.00022277784723090388,4.44275,7030.0,0.6892518735631301,0.8037903207333787
8250,8081,3.757818181818182,0.028459276322351942,0.00022777416546358237,4.5080606060606065,6189.5,0.6927048409178551,0.8069807935221915
8500,8271,3.845411764705882,0.025994550070584672,0.00022622730701881883,4.468588235294117,5297.0,0.6850247534302832,0.8020839511857913
8750,9020,3.983314285714286,0.028398239125893232,0.0002276439756380321,4.4972,4496.5,0.6852278812501573,0.8022220291030835
9000,9095,4.0457777777777775,0.02935140701669621,0.00022479040881085552,4.457722222222222,3707.5,0.6928146191893998,0.8063895541814656
9250,10038,4.24627027027027,0.03161331600652742,0.00022955293925128504,4.516162162162162,2496.5,0.6917012485957372,0.8060694638988655
9500,10355,4.330105263157895,0.03180359710659199,0.0002279242690366299,4.504105263157895,1653.0,0.6881249305678405,0.8041188498596505
9750,11272,4.442051282051282,0.03280592585769761,0.00022782086788651564,4.498615384615385,551.5,0.6845394508697252,0.8011494911668067
10000,11034,4.4136,0.0373098968628644,0.0002207020702070207,4.4327,191.0,0.6992690966998414,0.8125793003443901
10250,11587,4.521756097560975,0.03484144215611728,0.00022059498963610964,4.422829268292683,-1014.0,0.6846645502613339,0.8021921118494865
10500,13243,5.044952380952381,0.035669155834224864,0.00024025870944625112,4.610952380952381,-4557.0,0.6872742566881378,0.8037453749150495
10750,12871,4.789209302325581,0.03619310768665903,0.0002227746442611211,4.448372093023256,-3664.0,0.7064969771533537,0.8166420635537255
11000,14458,5.257454545454546,0.03733086231233815,0.00023899693360553438,4.596909090909091,-7266.0,0.6794905857637981,0.7979665237238899
11250,13931,4.953244444444445,0.03456290524775468,0.00022016376764354362,4.426933333333333,-5921.0,0.6877114166550806,0.8027420859952623
11500,14719,5.119652173913043,0.03640195013981924,0.0002226129304249519,4.454173913043478,-7653.0,0.6889503468023289,0.8035192608193491
11750,15624,5.318808510638298,0.038121948252748374,0.00022635154100937517,4.474212765957446,-9924.0,0.6841598748011671,0.8011392729134664
12000,16221,5.407,0.03834926962267668,0.00022531044253687807,4.471333333333333,-11228.0,0.6892312195674303,0.8034646445965107
12250,17051,5.567673469387755,0.03653334553946711,0.0002272705310387687,4.488489795918367,-13220.0,0.6875927306407273,0.8038824702363497
12500,17937,5.73984,0.04099608503686609,0.0002296119689575166,4.49464,-15565.0,0.6980377746785212,0.8109494341305681
12750,18200,5.709803921568628,0.04300021042651548,0.0002239314425275954,4.457254901960784,-15970.0,0.6918630093240856,0.8063736263736264
13000,19369,5.959692307692308,0.04424277010433264,0.00022923656849343441,4.5028461538461535,-18939.0,0.6842868018079639,0.8009706231607208
13250,19472,5.878339622641509,0.03899538956497865,0.00022184087941133328,4.437735849056604,-19088.0,0.6864174177308986,0.8037181594083813
13500,20783,6.157925925925926,0.041761203348542816,0.0002280882260139983,4.495481481481481,-22443.0,0.6768755527617872,0.7955059423567339
13750,21603,6.284509090909091,0.04144669068323503,0.0002285442247039454,4.497672727272727,-24569.0,0.6874603539136797,0.8039624126278757
14000,21844,6.241142857142857,0.042887894831041634,0.00022291388160378803,4.450428571428572,-25070.0,0.6947338871899578,0.8081395348837209
14250,23241,6.523789473684211,0.04533160113488905,0.00022892095844214368,4.509052631578947,-28710.0,0.6852548824498222,0.8021599759046513
14500,23746,6.550620689655172,0.04622108742132303,0.00022589905130199228,4.469655172413793,-30174.0,0.6828770446308323,0.7997557483365619
14750,25077,6.800542372881356,0.04691016109816206,0.0002305424900970017,4.516949152542373,-33683.0,0.67892461459859,0.7983411093831001
15000,25574,6.819733333333334,0.04897487713749392,0.00022733960041780563,4.491866666666667,-34918.0,0.6824987871764027,0.8003049972628451
15250,26649,6.989901639344263,0.048188526807839395,0.00022919213192157723,4.507737704918033,-37853.0,0.6823434095558425,0.8000300198881759
15500,27421,7.0763870967741935,0.05017471449505938,0.00022828527959139924,4.499870967741935,-39936.0,0.6945088650507484,0.8091973305131104
15750,28317,7.191619047619048,0.04888391816944373,0.0002283198630903247,4.502285714285715,-42357.0,0.6849413895354918,0.8014620192817036
16000,28622,7.1555,0.04921944345051081,0.0002236233514594662,4.4501875,-43285.0,0.6840123302472174,0.8010271818880581
16250,30013,7.387815384615385,0.05025771634766587,0.0002273313860734625,4.488369230769231,-47116.0,0.6812377075354961,0.7985872788458335
16500,31035,7.5236363636363635,0.05106035050519953,0.00022800279906771208,4.493090909090909,-50004.0,0.6855995320227115,0.8019333011116482
16750,30698,7.330865671641791,0.0523046447489867,0.00021884487645954358,4.406925373134328,-48976.0,0.6759034992599188,0.7957521662649033
17000,33173,7.805411764705882,0.05407649355354483,0.0002295844392230685,4.509823529411765,-56025.0,0.6948741674693545,0.8079160763271335
17250,34463,7.991420289855072,0.05519672491783972,0.00023164879963635782,4.5302028985507246,-59706.0,0.6854870733520292,0.8016133244349012
17500,34916,7.9808,0.054690215652409994,0.00022803588776501514,4.4958285714285715,-60987.0,0.6803118113376005,0.7991751632489403
17750,35680,8.04056338028169,0.054161665467516704,0.00022650750409267256,4.481352112676056,-63176.0,0.6959498136862254,0.8085201793721973
18000,37467,8.326,0.05599381275858003,0.00023129062725706984,4.529166666666667,-68343.0,0.6874760199625731,0.8032935650038701
18250,37980,8.324383561643836,0.05573138715159995,0.00022807780047245975,4.496821917808219,-69853.0,0.6846962400383856,0.8018957345971564
18500,38774,8.383567567567567,0.05713050680943086,0.00022659515561834607,4.482162162162163,-72176.0,0.6834489194785183,0.8004332800330118
18750,39927,8.51776,0.05663347184727138,0.00022715238146034456,4.488106666666667,-75556.0,0.6875080569502355,0.8038921030881359
19000,41174,8.66821052631579,0.057201063285474876,0.00022812280978777276,4.496368421052631,-79265.0,0.6835991044106227,0.801015203769369
19250,42244,8.777974025974025,0.05985123884927181,0.00022801117008608307,4.495220779220779,-82443.0,0.6862726886274509,0.8025755136824164
19500,43354,8.893128205128205,0.05906431312493072,0.00022804062272752974,4.496102564102564,-85742.0,0.6862744068526934,0.802647967892236
